,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
1261,James,Gray,The Phenom,5.9,135.0,,Orthodox,4,1,0,
1262,Kevin,Gray,Pocket Herc,5.4,125.0,67.0,Orthodox,9,4,0,
1263,Sam,Greco,,6.2,205.0,,Orthodox,3,1,1,
1264,King,Green,,5.1,155.0,71.0,Orthodox,32,17,1,
1265,Desmond,Green,The Predator,5.1,155.0,73.0,Southpaw,23,8,0,
1266,Gabe,Green,Gifted,5.1,155.0,73.0,Switch,12,5,0,
1267,Maurice,Greene,The Crochet Boss,6.7,258.0,80.0,Orthodox,9,7,0,
1268,Matt,Grice,The Real One,5.8,145.0,70.0,Orthodox,15,5,0,
1269,Forrest,Griffin,,6.3,205.0,77.0,Orthodox,19,7,0,
1270,Tyson,Griffin,,5.6,145.0,68.0,Orthodox,16,8,0,
1271,Max,Griffin,Pain,5.11,170.0,76.0,Orthodox,20,12,0,
1272,Jordan,Griffin,Native Psycho,5.1,145.0,73.0,Southpaw,18,9,0,
1273,Chad,Griggs,The Grave Digger,6.1,205.0,73.0,Orthodox,11,3,0,
1274,Charalampos,Grigoriou,Ferocious,5.7,135.0,67.0,Orthodox,8,5,0,
1275,Chuck,Grigsby,The Reverend,6.6,205.0,,Orthodox,23,10,0,
1276,Rodrigo,Gripp de Sousa,Riscado,5.11,205.0,,Orthodox,7,9,0,
1277,Maxim,Grishin,Maximus,6.3,205.0,78.0,Orthodox,32,10,2,
1278,Josh,Grispi,The Fluke,5.11,145.0,74.0,Orthodox,14,5,0,
1279,Kendall,Grove,Da Spyder,6.6,185.0,79.0,Orthodox,23,17,0,
1280,Neil,Grove,Goliath,6.6,265.0,,Orthodox,12,8,1,
1281,Chris,Gruetzemacher,Gritz,5.8,155.0,68.0,Orthodox,15,5,0,
1282,Vik,Grujic,The Spartan,5.11,170.0,73.0,Orthodox,6,6,0,
1283,Mike,Grundy,,5.7,145.0,72.0,Orthodox,12,4,0,
1284,Wang,Guan,The Dongbei Tiger,5.9,145.0,71.0,Orthodox,20,1,1,
1285,Anthony,Guarascio,The Daywalker,,265.0,,,4,0,0,
1286,Nandor,Guelmino,The Hun,6.3,230.0,,,11,5,1,
1287,Fabricio,Guerreiro,,5.1,145.0,,,21,5,0,
1288,Rainn,Guerrero,Purple Rainn,5.6,125.0,65.0,Orthodox,5,2,0,
1289,Shannon,Gugerty,,5.1,155.0,71.0,Orthodox,15,7,0,
1290,Clay,Guida,The Carpenter,5.7,155.0,70.0,Orthodox,38,22,0,
1291,Jason,Guida,,5.1,214.0,,,19,28,0,
1292,Melvin,Guillard,The Young Assassin,5.9,155.0,71.0,Orthodox,32,18,2,
1293,Chris,Guillen,,6.0,240.0,,Orthodox,13,16,0,
1294,Marcelo,Guimaraes,Magrao,6.0,185.0,73.0,Orthodox,9,2,1,
1295,Leonardo,Guimaraes,Leleco,6.0,185.0,,Orthodox,11,5,0,
1296,Brad,Gumm,,5.11,170.0,,Orthodox,10,6,1,
1297,John,Gunderson,Quick Guns,5.9,155.0,69.0,Orthodox,35,16,2,
1298,John,Gunther,The Machine,5.9,155.0,72.0,Orthodox,5,1,0,
1299,Jorge,Gurgel,,5.7,155.0,69.0,Orthodox,14,10,0,
1300,Fabio,Gurgel,,6.0,205.0,,Orthodox,3,2,0,
1301,Luis,Gurule,Grim,5.5,125.0,64.0,Orthodox,10,1,0,
1302,Bogdan,Guskov,Czarevitch,6.3,205.0,76.0,Orthodox,18,3,0,
1303,Chelsea,Hackett,Hammer,5.4,125.0,66.0,Switch,3,1,1,
1304,Keith,Hackney,The Giant Killer,5.11,200.0,,Sideways,2,2,0,
1305,Cody,Haddon,,5.7,135.0,69.0,Orthodox,8,1,0,
1306,Jake,Hadley,White Kong,5.7,135.0,70.0,Southpaw,11,4,0,
1307,Steve,Hadsel,,5.8,170.0,,,3,0,0,
1308,Damir,Hadzovic,The Bosnian Bomber,5.9,155.0,70.0,Orthodox,14,8,0,
1309,Bassil,Hafez,The Habibi,5.11,170.0,72.0,Orthodox,9,4,1,
1310,Tim,Hague,The Trashing Machine,6.4,260.0,76.0,Orthodox,21,13,0,
1311,Theo,Haig,,,185.0,,Orthodox,6,0,0,
1312,Yazan,Hajeh,Yazzle Dazzle,5.9,145.0,,Orthodox,6,1,0,
1313,Stoney,Hale,The Skuller,6.0,,,,5,3,0,
1314,Kevin,Haley,The North Woods Nightmare,6.2,205.0,,,6,4,0,
1315,Mark,Hall,,6.0,190.0,,Orthodox,5,6,0,
1316,Uriah,Hall,Prime Time,6.0,185.0,79.0,Orthodox,18,11,0,
1317,Ryan,Hall,The Wizard,5.1,145.0,70.0,Southpaw,9,2,0,
1318,Dennis,Hallman,Superman,5.9,155.0,72.0,Orthodox,53,20,2,
1319,Piotr,Hallmann,Pletwal,5.9,155.0,71.0,Orthodox,18,6,0,
1320,Tony,Halme,,6.3,300.0,,Orthodox,0,4,0,
1321,Brandon,Halsey,Bull,6.0,185.0,,,9,3,0,
1322,John,Halverson,The Hurricane,5.9,155.0,,Southpaw,16,8,0,
1323,Seo Hee,Ham,,5.2,115.0,62.0,Southpaw,17,8,0,
1324,Frank,Hamaker,,,,,,1,0,0,
1325,Kazuhiro,Hamanaka,,6.0,185.0,,Southpaw,5,7,1,
1326,Rami,Hamed,,6.1,170.0,71.0,Orthodox,13,3,0,
1327,Matt,Hamill,The Hammer,6.1,205.0,76.0,Orthodox,12,8,0,
1328,Jeremy,Hamilton,Hawk,,185.0,,,9,2,0,
1329,Anthony,Hamilton,Freight Train,6.5,260.0,76.0,Orthodox,15,9,0,
1330,CJ,Hamilton,The Autobot,5.7,125.0,68.0,Switch,11,4,0,
1331,Jared,Hamman,The Messenger,6.3,185.0,75.0,Orthodox,14,6,0,
1332,James,Hammortree,The Sledge,6.3,185.0,,Orthodox,6,3,0,
1333,Dean,Hancock,The Hammer,,155.0,,,2,1,0,
1334,Chad,Hanekom,Superman,6.4,185.0,74.0,Orthodox,9,3,0,
1335,Joachim,Hansen,Hellboy,5.7,150.0,,Southpaw,23,14,1,
1336,Kay,Hansen,,5.2,115.0,63.0,Orthodox,7,6,0,
1337,Nasrat,Haqparast,,5.1,155.0,72.0,Southpaw,18,5,0,
1338,Shin,Haraguchi,,5.5,145.0,68.0,Switch,8,2,0,
1339,Janay,Harding,Hollowpoint,,135.0,,,2,3,0,
1340,Antoni,Hardonk,,6.4,245.0,78.0,Orthodox,8,6,0,
1341,George,Hardwick,King,5.1,155.0,72.0,Orthodox,12,2,0,
1342,Dan,Hardy,The Outlaw,6.0,170.0,74.0,Orthodox,25,10,0,
1343,Veronica,Hardy,,5.4,125.0,64.0,Southpaw,9,5,1,
1344,Greg,Hardy,Prince of War,6.5,265.0,80.0,Orthodox,7,5,0,
1345,Tobias,Harila,Bad Intention,,,,,12,3,0,
1346,Baru,Harn,Seiryu,,265.0,,,1,2,0,
1347,Scott,Harper,,6.0,185.0,,Orthodox,12,7,0,
1348,Josiah,Harrell,Muscle Hamster,5.7,170.0,68.0,Southpaw,7,0,0,
1349,Gerry,Harris,,6.8,270.0,,Orthodox,1,4,0,
1350,Gerald,Harris,,5.11,185.0,77.0,Southpaw,23,5,0,
1351,Phil,Harris,Billy,5.4,125.0,65.0,Orthodox,22,12,0,
1352,Dhafir,Harris,Dada 5000,,257.0,,,2,0,0,
1353,Trevor,Harris,,5.6,145.0,,,2,2,0,
1354,Carlston,Harris,Mocambique,6.0,170.0,76.0,Orthodox,19,7,0,
1355,Kayla,Harrison,,5.8,135.0,66.0,Southpaw,19,1,0,
1356,Collin,Hart,,6.1,185.0,,Orthodox,6,3,1,
1357,Joey,Hart,The Hitman,6.3,170.0,79.0,Orthodox,6,2,0,
1358,Dale,Hartt,,5.1,155.0,69.0,Orthodox,6,3,0,
1359,Luke,Hartwig,,,,,,0,1,0,
1360,Clay,Harvison,Bushwacker,6.1,170.0,74.0,Orthodox,13,6,0,
1361,Hidehiko,Hasegawa,,5.9,170.0,,,19,20,6,
1362,Chris,Haseman,The Hammer,5.11,205.0,,Orthodox,20,17,0,
1363,Takayo,Hashi,,5.4,135.0,,Orthodox,15,6,1,
1364,Tomohiko,Hashimoto,,6.0,250.0,,Orthodox,1,4,0,
1365,Justin,Haskins,,5.1,170.0,,Orthodox,7,6,0,
1366,Hayder,Hassan,Hulk,5.1,170.0,,,6,3,0,
1367,Ahmad,Hassanzada,Lion of the Ring,6.1,155.0,75.0,Orthodox,11,3,0,
1368,Daiki,Hata,DJ Taiki,5.6,139.0,,Orthodox,17,11,7,
1369,John,Hathaway,The Hitman,6.1,170.0,75.0,Orthodox,17,2,0,
1370,Phil,Hawes,No Hype,6.0,185.0,77.0,Orthodox,12,6,0,
1371,Justin,Hawes,The Hawk,5.11,205.0,,,6,9,0,
1372,Chris,Hawk,,6.1,205.0,,,5,10,0,
1373,Del,Hawkins,The Filipino Delight,5.5,135.0,,Orthodox,22,17,0,
1374,Tommy,Hayden,Wild Card,5.9,145.0,,Southpaw,11,3,0,
1375,Mike,Hayes,,6.4,230.0,,Orthodox,20,12,2,
1376,Gerric,Hayes,,5.1,,,,8,11,0,
1377,Josh,Haynes,Bring the Pain,5.9,170.0,,Orthodox,14,11,0,
1378,Dustin,Hazelett,McLovin,6.1,170.0,76.0,Orthodox,12,7,0,
1379,James,Head,,6.1,170.0,73.0,Orthodox,9,4,0,
1380,Pat,Healy,Bam Bam,6.0,155.0,72.0,Orthodox,34,23,0,
1381,Ryan,Healy,The Irish Assassin,6.1,155.0,,Orthodox,25,14,1,
1382,Spencer,Hearns,,5.11,185.0,,,1,0,0,
1383,David,Heath,,5.11,205.0,72.0,Orthodox,18,7,0,
1384,Chris,Heatherly,Stump,5.9,155.0,,Orthodox,9,4,0,
1385,Jake,Hecht,Hitman,6.0,170.0,73.0,Orthodox,11,4,0,
1386,Nick,Hein,Sergeant,5.6,155.0,66.0,Southpaw,14,5,0,
1387,Ian,Heinisch,The Hurricane,5.11,185.0,72.0,Orthodox,14,5,0,
1388,Marcin,Held,,5.9,155.0,71.0,Orthodox,23,7,0,
1389,Delson,Heleno,Pe De Chumbo,5.11,185.0,,Orthodox,29,10,0,
1390,Matt,Helm,,,155.0,,,1,1,0,
1391,Elisha,Helsper,Knuckles,5.6,135.0,,Orthodox,0,4,0,
1392,Dan,Henderson,Hendo,5.11,185.0,74.0,Orthodox,32,15,0,
1393,Benson,Henderson,Smooth,5.9,170.0,70.0,Southpaw,24,7,0,
1394,Ron,Henderson,,5.1,125.0,,,4,3,0,
1395,Josh,Hendricks,,6.2,235.0,,Southpaw,19,11,0,
1396,Johny,Hendricks,Bigg Rigg,5.9,185.0,69.0,Southpaw,18,8,0,
1397,Cory,Hendricks,,6.3,205.0,,Switch,3,1,0,
1398,Luis,Henrique,KLB,6.2,243.0,74.0,Orthodox,10,5,0,
1399,Jose,Henrique,Canela,6.3,170.0,79.0,Orthodox,5,1,0,
1400,Danny,Henry,The Hatchet,6.0,145.0,73.0,Orthodox,12,4,0,
1401,Victor,Henry,La Mangosta,5.7,135.0,68.0,Switch,25,7,0,
1402,TJ,Hepburn,The Carnivore,5.7,155.0,,,4,2,0,
1403,Jai,Herbert,Black Country Banger,6.1,155.0,77.0,Orthodox,13,6,1,
1404,Ed,Herman,Short Fuse,6.1,205.0,77.0,Orthodox,27,16,0,
1405,Dave,Herman,,6.4,242.0,77.0,Orthodox,22,6,0,
1406,Jack,Hermansson,The Joker,6.1,185.0,77.0,Orthodox,24,9,0,
1407,Noe,Hernandez,,,,,Orthodox,5,5,0,
1408,Joe,Hernandez,,,,,,0,1,0,
1409,Ramiro,Hernandez,Junior,5.9,135.0,,Orthodox,19,9,0,
1410,Alexander,Hernandez,The Great Ape,5.9,155.0,72.0,Orthodox,17,8,0,
1411,Anthony,Hernandez,Fluffy,6.0,185.0,75.0,Orthodox,15,2,0,
1412,Nohelin,Hernandez,Suave,5.1,135.0,71.0,Orthodox,9,4,0,
1413,Carlos,Hernandez,,5.8,125.0,67.0,Orthodox,10,5,0,
1414,Leslie,Hernandez,Dora The Destroyer,5.3,115.0,64.0,Orthodox,4,2,0,
1415,Paul,Herrera,The Bone Crusher,5.1,185.0,,Orthodox,1,1,0,
1416,Chris,Herrera,The Crusher,5.1,185.0,,,3,2,1,
1417,Geane,Herrera,La Pulga,5.5,125.0,66.0,Orthodox,9,3,0,
1418,Alvaro,Herrera Mendoza,Chango,6.0,155.0,74.0,Orthodox,9,6,0,
1419,Felice,Herrig,Lil Bulldog,5.4,115.0,65.0,Orthodox,14,10,0,
1420,Heath,Herring,The Texas Crazy Horse,6.4,250.0,78.0,Orthodox,28,16,0,
1421,Jon,Hess,,6.7,295.0,,,1,1,0,
1422,Clint,Hester,Headbussa,6.2,205.0,77.0,Orthodox,11,6,0,
1423,Brandon,Hester,The Beast,6.1,205.0,,,3,0,0,
1424,Conor,Heun,Hurricane,5.1,155.0,,Orthodox,9,5,0,
1425,Marcus,Hicks,The Wrecking Ball,5.6,155.0,64.0,Southpaw,10,4,0,
1426,Jay,Hieron,The Thoroughbred,6.0,170.0,75.0,Orthodox,23,7,0,
1427,Brady,Hiestand,Bam Bam,5.8,135.0,71.0,Orthodox,9,2,0,
1428,Lee,Higgins,,,155.0,,,2,1,0,
1429,Jason,High,The Kansas City Bandit,5.8,155.0,73.0,Southpaw,21,6,0,
1430,Richie,Hightower,The Dirty Samurai,5.8,170.0,,Orthodox,8,4,0,
1431,Alex,Higley,,5.1,145.0,,,4,3,0,
1432,Corey,Hill,,6.4,155.0,80.0,Orthodox,6,9,0,
1433,Isaiah,Hill,,5.1,155.0,,,5,7,1,
1434,Angela,Hill,Overkill,5.3,115.0,64.0,Orthodox,18,15,0,
1435,Tyler,Hill,,6.3,170.0,,Switch,8,2,0,
1436,Jamahal,Hill,Sweet Dreams,6.4,205.0,79.0,Southpaw,12,4,0,
1437,Kailan,Hill,,6.1,185.0,77.0,Southpaw,4,1,0,
1438,Alvin,Hines,Goozie,6.2,265.0,74.0,Orthodox,7,1,0,
1439,Branden Lee,Hinkle,The Iron Lion,6.3,235.0,,Orthodox,17,11,0,
1440,Hatsu,Hioki,,5.11,145.0,73.0,Orthodox,29,10,2,
1441,Alan,Hiro,Yamaniha,5.5,135.0,,Orthodox,14,5,4,
1442,Kuniyoshi,Hironaka,,5.1,168.0,70.0,Orthodox,23,9,0,
1443,Mizuto,Hirota,Pugnus,5.7,155.0,67.0,Orthodox,18,10,2,
1444,Yuji,Hisamatsu,,5.1,185.0,,,16,22,6,
1445,An Tuan,Ho,Highlight,5.6,125.0,66.0,Switch,6,1,0,
1446,Kwan,Ho Kwak,,5.5,135.0,,Switch,9,2,0,
1447,Matt,Hobar,The Crowbar,5.1,135.0,70.0,Southpaw,9,3,0,
1448,Chris,Hofmann,,6.0,170.0,72.0,Orthodox,9,2,0,
1449,Sam,Hoger,The Alaskan Assassin,6.2,205.0,,Orthodox,10,4,0,
1450,Josh,Hokit,The Incredible Hok,6.1,238.0,73.0,Orthodox,6,0,0,
1451,Andrew,Holbrook,,5.11,155.0,70.0,Southpaw,12,3,0,
1452,Sean,Holden,,5.1,170.0,,,5,2,0,
1453,Chris,Holdsworth,,5.11,135.0,,,6,0,0,
1454,Kevin,Holland,Trailblazer,6.3,170.0,81.0,Orthodox,28,14,0,
1455,Roger,Hollett,The Hulk,5.11,205.0,,Orthodox,13,5,0,
1456,Max,Holloway,Blessed,5.11,145.0,69.0,Orthodox,27,8,0,
1457,Gabrielle,Holloway,Gabanator,5.3,145.0,,,6,5,0,
1458,Jeremie,Holloway,Hit Em,6.0,170.0,,,8,3,0,
1459,Holly,Holm,The Preacher's Daughter,5.8,135.0,69.0,Southpaw,15,7,0,
1460,Rex,Holman,Big Dog,6.3,205.0,,Southpaw,4,2,0,
1461,Joseph,Holmes,Uglyman Joe,6.4,185.0,80.0,Orthodox,8,4,0,
1462,Brandon,Holmes,,6.2,185.0,74.0,Orthodox,5,1,0,
1463,Kurt,Holobaugh,The Hurt,5.11,155.0,70.0,Orthodox,22,10,0,
1464,Paddy,Holohan,The Hooligan,5.1,125.0,69.0,Orthodox,12,2,1,
1465,Ben,Holscher,The Teacher,5.11,155.0,,,4,0,0,
1466,Mark,Holst,Boots,6.0,155.0,,Orthodox,12,6,0,
1467,Scott,Holtzman,Hot Sauce,5.9,155.0,69.0,Orthodox,14,6,0,
1468,Sabah,Homasi,,6.0,170.0,72.0,Orthodox,11,8,0,
1469,Mark,Hominick,The Machine,5.8,145.0,68.0,Orthodox,20,12,0,
1470,Barb,Honchak,Little Warrior,5.4,125.0,65.0,Orthodox,10,4,0,
1471,Chris,Honeycutt,The Cutt,5.1,170.0,73.0,,9,1,0,
1472,SeongChan,Hong,Honey Badger,5.7,155.0,69.0,Orthodox,9,2,0,
1473,Satoshi,Honma,,6.1,205.0,,Orthodox,4,6,3,
1474,David,Hood,,6.0,200.0,,,1,3,0,
1475,Lorenzo,Hood,Dream Killer,6.3,265.0,80.0,Southpaw,14,5,0,
1476,Dan,Hooker,The Hangman,6.0,155.0,75.0,Switch,24,12,0,
1477,Chase,Hooper,The Dream,6.1,155.0,74.0,Southpaw,16,4,1,
1478,Darrell,Horcher,The Saint,5.1,155.0,70.0,Southpaw,13,4,0,
1479,Moti,Horenstein,,6.4,230.0,,Orthodox,1,6,0,
1480,Yoshinori,Horie,,5.8,145.0,70.0,Orthodox,8,2,0,
1481,Kyoji,Horiguchi,,5.5,125.0,66.0,Orthodox,19,2,0,
1482,Yuma,Horiuchi,Ichiban,5.6,125.0,67.0,Switch,9,5,0,
1483,Jeremy,Horn,Gumby,6.1,185.0,74.0,Orthodox,91,22,5,
1484,Matt,Horning,Horndog,5.4,125.0,,,20,25,0,
1485,Chris,Horodecki,The Polish Hammer,5.9,155.0,69.0,Orthodox,21,7,1,
1486,Jamey-Lyn,Horth,,5.7,125.0,66.0,Orthodox,8,2,0,
1487,Matt,Horwich,Suave,6.1,185.0,,Orthodox,30,25,1,
1488,John,Hosman,,5.1,135.0,,Southpaw,18,8,1,
1489,Saeed,Hosseini,,,,,,0,1,0,
1490,Jeff,Hougland,Hellbound,5.7,135.0,68.0,Orthodox,10,6,0,
1491,Trey,Houston,,5.11,185.0,,,11,4,0,
1492,Jamie,Houston,,,185.0,,,3,0,0,
1493,Brian,Houston,B-Hue,6.2,185.0,,Orthodox,4,6,0,
1494,Harold,Howard,,6.2,240.0,,Orthodox,1,3,0,
1495,John,Howard,Doomsday,5.7,170.0,72.0,Orthodox,24,13,0,
1496,Hu,Yaozong,Totoro,6.3,185.0,72.0,Orthodox,3,3,0,
1497,Carlos,Huachin,Perro Malo,5.4,135.0,67.0,Southpaw,10,5,1,
1498,Brady,Huang,The Kung Fu Warrior,5.9,135.0,69.0,Orthodox,11,2,0,
1499,Yuele,Huang,,,145.0,,,13,0,0,
1500,Huang,Feier,Muscle Barbie,5.5,115.0,65.0,Orthodox,14,8,0,
1501,Austin,Hubbard,Thud,5.1,155.0,71.0,Orthodox,17,10,0,
1502,Collin,Huckbody,All In,6.3,185.0,76.0,Orthodox,8,2,0,
1503,Alex,Huddleston,The Shaved Gorilla,6.7,254.0,,,6,2,0,
1504,Roger,Huerta,El Matador,5.9,155.0,70.0,Orthodox,23,9,1,
1505,Casey,Huffman,Hellbent,6.3,185.0,,,3,1,0,
1506,Matt,Hughes,,5.9,170.0,73.0,Switch,45,9,0,
1507,Mark,Hughes,,5.9,205.0,,Southpaw,6,2,0,
1508,Jeff,Hughes,Lights Out,6.2,250.0,77.0,Orthodox,10,4,0,
1509,Sam,Hughes,Sampage,5.5,115.0,64.0,Orthodox,10,6,0,
1510,Victor,Hugo,Striker,5.7,135.0,71.0,Orthodox,25,5,0,
1511,David,Hulett,Hollywood,5.1,170.0,,,22,10,0,
1512,Dominik,Humburger,,,185.0,,,8,1,0,
1513,Bryan,Humes,,,265.0,,,6,2,0,
1514,Abongo,Humphrey,,5.11,205.0,,Orthodox,7,3,0,
1515,Harry,Hunsucker,The Hurricane,6.2,205.0,75.0,Orthodox,7,6,0,
1516,Mark,Hunt,Super Samoan,5.1,265.0,72.0,Orthodox,13,14,1,
1517,Alex,Hunter,,5.9,226.0,,Orthodox,2,0,0,
1518,Adam,Hunter,Warhammer,6.1,185.0,,Orthodox,7,1,0,
1519,Joe,Hurley,,5.8,155.0,,,12,5,0,
1520,Al,Iaquinta,Raging,5.1,155.0,70.0,Orthodox,14,7,1,
1521,Khadis,Ibragimov,,6.3,205.0,78.0,Orthodox,8,4,0,
1522,Minoki,Ichihara,,5.7,178.0,,Orthodox,0,1,0,
1523,Alibi,Idiris,,5.6,125.0,68.0,Orthodox,11,1,0,
1524,Dan,Ige,50K,5.7,145.0,71.0,Orthodox,19,10,0,
1525,Valeri,Ignatov,,5.9,170.0,,Orthodox,1,2,0,
1526,Sergey,Ignatov,,5.9,210.0,,Orthodox,0,1,0,
1527,Fabiano,Iha,,5.8,155.0,,Orthodox,9,5,0,
1528,Seichi,Ikemoto,,5.11,168.0,,Orthodox,21,19,5,
1529,Mikhail,Iloukhine,,5.9,205.0,,Orthodox,30,11,1,
1530,Zelim,Imadaev,,6.0,170.0,76.0,Orthodox,8,3,0,
1531,Yusuke,Imamura,,5.8,220.0,,Orthodox,2,6,0,
1532,Masakazu,Imanari,,5.4,139.0,,Southpaw,36,16,2,
1533,Nassourdine,Imavov,The Sniper,6.3,185.0,75.0,Orthodox,16,4,0,
1534,Brad,Imes,Hillbilly Heartthrob,6.7,265.0,,Orthodox,13,7,0,
1535,Michael,Imperato,,5.7,135.0,66.0,Switch,12,7,0,
1536,Rui,Imura,,5.9,135.0,69.0,Southpaw,12,5,0,
1537,Chris,Indich,,5.1,170.0,,,6,4,0,
1538,Chris,Inman,,,,,,1,0,0,
1539,Guto,Inocente,,6.3,205.0,,Orthodox,7,4,0,
1540,Enson,Inoue,Yamato Damashii,5.1,210.0,,Orthodox,12,8,0,
1541,Egan,Inoue,,5.9,190.0,,Southpaw,13,8,0,
1542,Katsuya,Inoue,,5.9,168.0,,Southpaw,19,9,4,
1543,Takeshi,Inoue,Lion,5.8,145.0,,,23,10,0,
1544,Naoki,Inoue,,5.9,125.0,71.0,Orthodox,11,1,0,
1545,Yves,Jabouin,Tiger,5.7,135.0,68.0,Orthodox,20,11,0,
1546,Kevin,Jackson,,5.1,199.0,,Switch,4,2,0,
1547,Eugene,Jackson,The Wolf,5.8,185.0,,Orthodox,15,9,1,
1548,Quinton,Jackson,Rampage,6.1,205.0,73.0,Orthodox,37,12,0,
1549,Jeremy,Jackson,Scorpion,5.1,170.0,,Orthodox,9,5,0,
1550,Damon,Jackson,The Leech,5.11,155.0,71.0,Switch,23,8,1,
1551,Kenyon,Jackson,,6.0,185.0,,,4,3,0,
1552,Mike,Jackson,The Truth,6.2,170.0,74.0,Orthodox,1,2,0,
1553,Jason,Jackson,Jah-Son,6.1,170.0,78.0,Orthodox,7,2,0,
1554,Montel,Jackson,Quik,5.1,135.0,75.0,Southpaw,15,2,0,
1555,Eric,Jacob,,,155.0,,,1,9,0,
1556,Richard,Jacobi,,6.4,260.0,75.0,Orthodox,6,1,1,
1557,Dustin,Jacoby,The Hanyak,6.3,205.0,76.0,Orthodox,21,9,1,
1558,Justin,James,,5.1,155.0,,Orthodox,13,7,0,
1559,Nate,James,,6.0,185.0,,,14,8,1,
1560,Virna,Jandiroba,Carcara,5.3,115.0,64.0,Orthodox,22,3,0,
1561,Ryan,Janes,,6.3,185.0,76.0,Orthodox,10,3,0,
1562,YunSeong,Jang,,6.0,170.0,72.0,Orthodox,7,2,0,
1563,Josh,Janousek,,5.11,185.0,,Orthodox,8,1,0,
1564,Dave,Jansen,,5.9,155.0,73.0,Orthodox,20,4,0,
1565,Jaime,Jara,El Cucui,6.1,205.0,,Southpaw,38,18,0,
1566,Gigo,Jara,The Little Animal,5.9,145.0,,,6,9,0,
1567,Keith,Jardine,The Dean of Mean,6.2,185.0,76.0,Orthodox,17,11,2,
1568,Brock,Jardine,The Machine,5.11,170.0,,Orthodox,12,6,0,
1569,Josh,Jarvis,,,,,,1,4,0,
1570,Rony,Jason,,5.7,145.0,73.0,Orthodox,14,7,0,
1571,Jasmine,Jasudavicius,,5.7,125.0,68.0,Orthodox,14,3,0,
1572,Louis,Jauregui,,5.7,170.0,,,4,2,0,
1573,Yazmin,Jauregui,,5.3,115.0,64.0,Orthodox,11,2,0,
1574,Justin,Jaynes,The Guitar Hero,5.7,145.0,68.0,Orthodox,16,8,0,
1575,Joanna,Jedrzejczyk,,5.6,115.0,65.0,Orthodox,16,5,0,
1576,Aaron,Jeffery,,6.2,185.0,73.0,Orthodox,10,3,0,
1577,Trent,Jenkins,,6.2,185.0,,,0,4,0,
1578,Bubba,Jenkins,The Highlight Kid,5.7,145.0,,,11,4,0,
1579,Adrienna,Jenkins,AJ,5.8,145.0,,,19,6,0,
1580,Brandon,Jenkins,The Human Highlight Reel,6.0,155.0,71.0,Switch,15,9,0,
1581,Jack,Jenkins,Phar,5.7,145.0,68.0,Switch,13,4,0,
1582,Steve,Jennum,,5.1,215.0,,Orthodox,2,3,0,
1583,Ryan,Jensen,,6.1,185.0,76.0,Orthodox,21,8,0,
1584,Kyle,Jensen,,5.9,170.0,,Orthodox,4,11,2,
1585,Chan-Mi,Jeon,,5.5,115.0,,Orthodox,5,2,0,
1586,Maciej,Jewtuszko,Irokez,6.0,155.0,,Southpaw,12,3,0,
1587,Ronald,Jhun,The Machine Gun,5.11,170.0,,Orthodox,24,26,2,
1588,Baergeng,Jieleyisi,,5.9,145.0,71.0,Orthodox,18,7,0,
1589,Gilbert,Jimenez,,,155.0,,,8,12,1,
1590,Ramiro,Jimenez,El Cachanilla,5.9,145.0,73.0,Southpaw,11,0,0,
1591,Art,Jimmerson,,6.1,196.0,,Orthodox,0,1,0,
1592,Ryan,Jimmo,The Big Deal,6.1,205.0,73.0,Orthodox,19,5,0,
1593,Jinensibieke,Asikeerbai,,5.6,155.0,69.0,Orthodox,36,11,0,
1594,Sung Bin,Jo,Korean Falcon,6.0,145.0,72.0,Orthodox,9,1,0,
1595,Carls,John De Tomas,,5.5,125.0,71.0,Southpaw,6,2,0,
1596,Phil,Johns,,5.2,170.0,,Southpaw,30,14,1,
1597,Brett,Johns,The Pikey,5.7,135.0,71.0,Orthodox,17,2,0,
1598,Miles,Johns,Chapo,5.7,135.0,68.0,Orthodox,15,4,0,
1599,Anthony,Johnson,Rumble,6.2,205.0,78.0,Orthodox,22,6,0,
1600,DaMarques,Johnson,Darkness,6.1,170.0,75.0,Orthodox,15,15,0,
1601,Devin,Johnson,,,,,,1,1,1,
1602,Travis,Johnson,,,205.0,,,0,1,0,
1603,Ricky,Johnson,,5.8,145.0,,Orthodox,10,6,0,
1604,Tony,Johnson,,6.2,205.0,76.0,Orthodox,7,2,0,
1605,Lavar,Johnson,Big,6.4,240.0,82.0,Orthodox,18,10,0,
1606,Demetrious,Johnson,Mighty Mouse,5.3,125.0,66.0,Orthodox,27,3,1,
1607,Michael,Johnson,The Menace,5.1,155.0,73.0,Southpaw,25,19,0,
1608,Deshaun,Johnson,,,167.0,,,6,9,0,
1609,Kajan,Johnson,Ragin',5.11,155.0,75.0,Orthodox,23,13,1,
1610,Dashon,Johnson,Flyboy,5.7,145.0,,Orthodox,9,2,0,
1611,Timothy,Johnson,,6.3,265.0,77.0,Southpaw,12,4,0,
1612,Tony,Johnson,,6.1,265.0,,,11,3,0,
1613,Jordan,Johnson,,6.2,205.0,79.0,Orthodox,10,0,0,
1614,Taylor,Johnson,Tombstone,6.0,185.0,74.0,Switch,5,1,0,
1615,Chad,Johnson,Big Rigg,6.2,230.0,80.0,Orthodox,6,2,0,
